date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-08-09 23:00:00+00:00,Gremio,Chapecoense-sc,0.3157894736842105,0.02631578947368421,-7,-40,43,15
2021-08-14 20:00:00+00:00,RB Bragantino,Juventude,0.3684210526315789,0.2894736842105263,9,-8,56,46
2021-08-14 22:00:00+00:00,Atletico-MG,Palmeiras,0.6842105263157895,0.5263157894736842,33,15,84,66
2021-08-15 00:00:00+00:00,Sao Paulo,Gremio,0.2894736842105263,0.3157894736842105,-8,-7,48,43
2021-08-15 19:00:00+00:00,Corinthians,Ceara,0.39473684210526316,0.2894736842105263,4,1,57,50
2021-08-15 19:00:00+00:00,Flamengo,Sport Recife,0.5526315789473685,0.23684210526315788,33,-13,71,38
2021-08-15 21:15:00+00:00,Bahia,Atletico Goianiense,0.2894736842105263,0.34210526315789475,-9,-3,43,53
2021-08-15 21:15:00+00:00,Fortaleza EC,Santos,0.4473684210526316,0.3157894736842105,-1,-5,58,50
2021-08-15 21:15:00+00:00,Cuiaba,Atletico Paranaense,0.2631578947368421,0.34210526315789475,-3,-4,47,47
2021-08-15 23:30:00+00:00,Internacional,Fluminense,0.3157894736842105,0.39473684210526316,2,0,48,54
2021-08-16 23:00:00+00:00,Chapecoense-sc,America Mineiro,0.02631578947368421,0.34210526315789475,-40,4,15,53
2021-08-18 22:00:00+00:00,Cuiaba,Gremio,0.2631578947368421,0.3157894736842105,-3,-7,47,43
2021-08-21 20:00:00+00:00,Atletico Goianiense,Chapecoense-sc,0.34210526315789475,0.02631578947368421,-3,-40,53,15
2021-08-21 22:00:00+00:00,Gremio,Bahia,0.3157894736842105,0.2894736842105263,-7,-9,43,43
2021-08-22 00:00:00+00:00,Juventude,Fortaleza EC,0.2894736842105263,0.4473684210526316,-8,-1,46,58
2021-08-22 14:00:00+00:00,Palmeiras,Cuiaba,0.5263157894736842,0.2631578947368421,15,-3,66,47
2021-08-22 19:00:00+00:00,Atletico Paranaense,Corinthians,0.34210526315789475,0.39473684210526316,-4,4,47,57
2021-08-22 19:00:00+00:00,Ceara,Flamengo,0.2894736842105263,0.5526315789473685,1,33,50,71
2021-08-22 21:15:00+00:00,Santos,Internacional,0.3157894736842105,0.3157894736842105,-5,2,50,48
2021-08-22 23:30:00+00:00,Sport Recife,Sao Paulo,0.23684210526315788,0.2894736842105263,-13,-8,38,48
2021-08-23 23:00:00+00:00,Fluminense,Atletico-MG,0.39473684210526316,0.6842105263157895,0,33,54,84
2021-08-23 23:00:00+00:00,America Mineiro,RB Bragantino,0.34210526315789475,0.3684210526315789,4,9,53,56
2021-08-28 20:00:00+00:00,Sport Recife,Chapecoense-sc,0.23684210526315788,0.02631578947368421,-13,-40,38,15
2021-08-28 22:00:00+00:00,Santos,Flamengo,0.3157894736842105,0.5526315789473685,-5,33,50,71
2021-08-29 00:00:00+00:00,Palmeiras,Atletico Paranaense,0.5263157894736842,0.34210526315789475,15,-4,66,47
2021-08-29 00:00:00+00:00,Gremio,Corinthians,0.3157894736842105,0.39473684210526316,-7,4,43,57
2021-08-29 14:00:00+00:00,America Mineiro,Ceara,0.34210526315789475,0.2894736842105263,4,1,53,50
2021-08-29 19:00:00+00:00,Juventude,Sao Paulo,0.2894736842105263,0.2894736842105263,-8,-8,46,48
2021-08-29 21:15:00+00:00,Atletico Goianiense,Internacional,0.34210526315789475,0.3157894736842105,-3,2,53,48
2021-08-29 23:30:00+00:00,RB Bragantino,Atletico-MG,0.3684210526315789,0.6842105263157895,9,33,56,84
2021-08-30 22:00:00+00:00,Fluminense,Bahia,0.39473684210526316,0.2894736842105263,0,-9,54,43
2021-08-31 00:30:00+00:00,Fortaleza EC,Cuiaba,0.4473684210526316,0.2631578947368421,-1,-3,58,47
2021-09-02 22:00:00+00:00,Fluminense,Juventude,0.39473684210526316,0.2894736842105263,0,-8,54,46
2021-09-05 00:00:00+00:00,Bahia,Fortaleza EC,0.2894736842105263,0.4473684210526316,-9,-1,43,58
2021-09-05 00:00:00+00:00,Cuiaba,Santos,0.2631578947368421,0.3157894736842105,-3,-5,47,50
2021-09-05 21:15:00+00:00,Atletico Paranaense,Sport Recife,0.34210526315789475,0.23684210526315788,-4,-13,47,38
2021-09-08 00:30:00+00:00,Corinthians,Juventude,0.39473684210526316,0.2894736842105263,4,-8,57,46
2021-09-08 00:30:00+00:00,Chapecoense-sc,Fluminense,0.02631578947368421,0.39473684210526316,-40,0,15,54
2021-09-11 19:00:00+00:00,America Mineiro,Atletico Paranaense,0.34210526315789475,0.34210526315789475,4,-4,53,47
2021-09-11 20:00:00+00:00,Juventude,Cuiaba,0.2894736842105263,0.2631578947368421,-8,-3,46,47
2021-09-11 22:00:00+00:00,RB Bragantino,Chapecoense-sc,0.3684210526315789,0.02631578947368421,9,-40,56,15
2021-09-12 00:00:00+00:00,Santos,Bahia,0.3157894736842105,0.2894736842105263,-5,-9,50,43
2021-09-12 14:00:00+00:00,Gremio,Ceara,0.3157894736842105,0.2894736842105263,-7,1,43,50
2021-09-12 19:00:00+00:00,Palmeiras,Flamengo,0.5263157894736842,0.5526315789473685,15,33,66,71
2021-09-12 19:00:00+00:00,Fortaleza EC,Atletico-MG,0.4473684210526316,0.6842105263157895,-1,33,58,84
2021-09-12 21:15:00+00:00,Atletico Goianiense,Corinthians,0.34210526315789475,0.39473684210526316,-3,4,53,57
2021-09-12 23:30:00+00:00,Fluminense,Sao Paulo,0.39473684210526316,0.2894736842105263,0,-8,54,48
2021-09-13 23:00:00+00:00,Sport Recife,Internacional,0.23684210526315788,0.3157894736842105,-13,2,38,48
2021-09-18 20:00:00+00:00,Chapecoense-sc,Palmeiras,0.02631578947368421,0.5263157894736842,-40,15,15,66
2021-09-18 21:45:00+00:00,Atletico Paranaense,Juventude,0.34210526315789475,0.2894736842105263,-4,-8,47,46
2021-09-18 22:00:00+00:00,Atletico-MG,Sport Recife,0.6842105263157895,0.23684210526315788,33,-13,84,38
2021-09-19 00:00:00+00:00,Ceara,Santos,0.2894736842105263,0.3157894736842105,1,-5,50,50
2021-09-19 00:00:00+00:00,Bahia,RB Bragantino,0.2894736842105263,0.3684210526315789,-9,9,43,56
2021-09-19 14:00:00+00:00,Internacional,Fortaleza EC,0.3157894736842105,0.4473684210526316,2,-1,48,58
2021-09-19 19:00:00+00:00,Sao Paulo,Atletico Goianiense,0.2894736842105263,0.34210526315789475,-8,-3,48,53
2021-09-19 21:15:00+00:00,Corinthians,America Mineiro,0.39473684210526316,0.34210526315789475,4,4,57,53
2021-09-19 23:30:00+00:00,Flamengo,Gremio,0.5526315789473685,0.3157894736842105,33,-7,71,43
2021-09-20 23:00:00+00:00,Cuiaba,Fluminense,0.2631578947368421,0.39473684210526316,-3,0,47,54
2021-09-22 23:30:00+00:00,Sao Paulo,America Mineiro,0.2894736842105263,0.34210526315789475,-8,4,48,53
2021-09-25 20:00:00+00:00,Ceara,Chapecoense-sc,0.2894736842105263,0.02631578947368421,1,-40,50,15
2021-09-25 22:00:00+00:00,Corinthians,Palmeiras,0.39473684210526316,0.5263157894736842,4,15,57,66
2021-09-26 00:00:00+00:00,Sao Paulo,Atletico-MG,0.2894736842105263,0.6842105263157895,-8,33,48,84
